ProductId,SkuId,EAN,Brand,Category,Imageurl1,Imageurl2,Imageurl3,Imageurl4 & Imageurl5,StockStatus,StockQuantity,Title,Description,AttributeSize,AttributeColor,NormalPriceWithoutVAT,PackageWeight,VATRate,Currency
MKA224,MKA224-navy-L,9159882047038,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/4HmZ4qJ.jpg,https://i.imgur.com/YnKApBi.jpg,https://i.imgur.com/N45g9oU.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",L,Navy,25.57,200,0,GBP
MKA224,MKA224-navy-XL,9159882047045,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/4HmZ4qJ.jpg,https://i.imgur.com/YnKApBi.jpg,https://i.imgur.com/N45g9oU.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",XL,Navy,25.57,200,0,GBP
MKA224,MKA224-navy-XXL,9159882047052,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/4HmZ4qJ.jpg,https://i.imgur.com/YnKApBi.jpg,https://i.imgur.com/N45g9oU.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",XXL,Navy,25.57,200,0,GBP
MKA224,MKA224-white-S,9159882047069,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/YQVO1ii.jpg,https://i.imgur.com/A8hYvIU.jpg,https://i.imgur.com/v35r8KM.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",S,White,25.57,200,0,GBP
MKA224,MKA224-white-M,9159882047076,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/YQVO1ii.jpg,https://i.imgur.com/A8hYvIU.jpg,https://i.imgur.com/v35r8KM.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",M,White,25.57,200,0,GBP
MKA224,MKA224-white-L,9159882047083,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/YQVO1ii.jpg,https://i.imgur.com/A8hYvIU.jpg,https://i.imgur.com/v35r8KM.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",L,White,25.57,200,0,GBP
MKA224,MKA224-white-XL,9159882047090,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/YQVO1ii.jpg,https://i.imgur.com/A8hYvIU.jpg,https://i.imgur.com/v35r8KM.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",XL,White,25.57,200,0,GBP
MKA224,MKA224-white-XXL,9159882047106,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/YQVO1ii.jpg,https://i.imgur.com/A8hYvIU.jpg,https://i.imgur.com/v35r8KM.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Button Contrast Color Shirt Slimming Casual Clothing for Men,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",XXL,White,25.57,200,0,GBP
MKA225,MKA225-black-S,9159882047113,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/wt4pnbF.jpg,https://i.imgur.com/VTAdGr5.jpg,https://i.imgur.com/QL0Diye.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Men Casual Long Sleeve Print Shirt Slimming Blouse,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",S,Black,25.57,200,0,GBP
MKA225,MKA225-black-M,9159882047120,Drupum,Apparel & Accessories > Clothing > Shirts & Tops > Mens,https://i.imgur.com/wt4pnbF.jpg,https://i.imgur.com/VTAdGr5.jpg,https://i.imgur.com/QL0Diye.jpg,https://i.imgur.com/VemH6YA.jpg,INSTOCK,100,Drupum Men Casual Long Sleeve Print Shirt Slimming Blouse,"This shirt is suitable for business, going out, party, dating, leisure and so on. Show your body, be a charming gentleman. <br><br>European size: S-XXL; <br>Fabric: polyester; <br>Sleeve: long sleeve; <br>Collar: turn-down collar; <br>Style: slimming. <br><br>Tips: 1, manual measurement, there are 1-3cm errors; <br>2, there is a little color difference due to different light, screen. Please pay attention. Thank you. Wish you a nice shopping!",M,Black,25.57,200,0,GBP
